,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
Gender,0.9027777777777778,0.5333333333333333,1.0,0.6956521739130435,8,7,0
Disability,0.7638888888888888,0.05555555555555555,1.0,0.10526315789473684,1,17,0
Race,0.875,0.2727272727272727,0.75,0.4,3,8,1
Religion,0.9583333333333334,0.8,0.6666666666666666,0.7272727272727273,4,1,2
Sexual,0.9305555555555556,0.0,0.0,0.0,0,3,2
Average Predictions,0.8861111111111111,0.3076923076923077,0.7619047619047619,0.4383561643835616,16,36,5
General Aggregate,0.7777777777777778,0.5714285714285714,0.8,0.6666666666666666,16,12,4
Matching Aggregate,0.7222222222222222,0.0,0.0,0.0,0,0,20
Relaxed Aggregate,0.6805555555555556,0.45454545454545453,0.75,0.5660377358490566,15,18,5
