,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives
General Relaxed Aggregate,0.7777777777777778,0.5714285714285714,0.8,0.6666666666666666,16,12,4,40
General Matching Aggregate,0.7638888888888888,1.0,0.7638888888888888,0.8661417322834646,55,0,17,0
Gender Bias Type,0.8888888888888888,0.5,0.75,0.6,6,6,2,58
Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
Race Bias Type,0.9444444444444444,0.5,0.75,0.6,3,3,1,65
Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
No Bias,0.7777777777777778,0.9090909090909091,0.7692307692307693,0.8333333333333334,40,4,12,16
